Junction ID,CWE ID,CAPEC ID
1,276,1
2,285,1
3,434,1
4,693,1
5,732,1
6,1191,1
7,1193,1
8,1220,1
9,1297,1
10,1311,1
11,1314,1
12,1315,1
13,1318,1
14,1320,1
15,1321,1
16,1327,1
17,645,2
18,20,3
19,41,3
20,74,3
21,172,3
22,173,3
23,179,3
24,180,3
25,181,3
26,183,3
27,184,3
28,697,3
29,707,3
30,173,4
31,291,4
32,285,5
33,74,6
34,78,6
35,146,6
36,184,6
37,185,6
38,697,6
39,20,7
40,74,7
41,89,7
42,209,7
43,697,7
44,707,7
45,20,8
46,74,8
47,118,8
48,119,8
49,120,8
50,680,8
51,697,8
52,733,8
53,20,9
54,74,9
55,118,9
56,119,9
57,120,9
58,680,9
59,697,9
60,733,9
61,20,10
62,74,10
63,99,10
64,118,10
65,119,10
66,120,10
67,302,10
68,680,10
69,697,10
70,733,10
71,430,11
72,201,12
73,306,12
74,15,13
75,20,13
76,73,13
77,74,13
78,200,13
79,285,13
80,302,13
81,353,13
82,20,14
83,74,14
84,118,14
85,119,14
86,120,14
87,353,14
88,680,14
89,697,14
90,77,15
91,78,15
92,93,15
93,138,15
94,140,15
95,146,15
96,154,15
97,157,15
98,184,15
99,185,15
100,697,15
101,262,16
102,263,16
103,307,16
104,308,16
105,309,16
106,521,16
107,654,16
108,59,17
109,270,17
110,272,17
111,282,17
112,285,17
113,693,17
114,732,17
115,80,18
116,284,19
117,326,20
118,327,20
119,693,20
120,1204,20
121,6,21
122,290,21
123,302,21
124,346,21
125,384,21
126,539,21
127,602,21
128,642,21
129,664,21
130,20,22
131,200,22
132,287,22
133,290,22
134,693,22
135,20,23
136,20,24
137,74,24
138,118,24
139,119,24
140,120,24
141,680,24
142,697,24
143,733,24
144,412,25
145,567,25
146,662,25
147,667,25
148,833,25
149,1322,25
150,362,26
151,363,26
152,366,26
153,368,26
154,370,26
155,662,26
156,665,26
157,667,26
158,689,26
159,1223,26
160,1254,26
161,1298,26
162,61,27
163,367,27
164,662,27
165,667,27
166,689,27
167,20,28
168,74,28
169,362,29
170,366,29
171,367,29
172,368,29
173,370,29
174,662,29
175,663,29
176,665,29
177,691,29
178,270,30
179,20,31
180,113,31
181,302,31
182,311,31
183,315,31
184,384,31
185,472,31
186,539,31
187,565,31
188,602,31
189,642,31
190,80,32
191,444,33
192,74,34
193,113,34
194,138,34
195,436,34
196,59,35
197,94,35
198,95,35
199,96,35
200,97,35
201,270,35
202,272,35
203,282,35
204,306,36
205,693,36
206,695,36
207,1242,36
208,226,37
209,311,37
210,312,37
211,314,37
212,315,37
213,318,37
214,525,37
215,1239,37
216,1258,37
217,1266,37
218,1272,37
219,1278,37
220,1301,37
221,1330,37
222,426,38
223,427,38
224,233,39
225,285,39
226,302,39
227,315,39
228,353,39
229,384,39
230,472,39
231,539,39
232,565,39
233,77,40
234,88,41
235,150,41
236,697,41
237,20,42
238,74,42
239,119,42
240,120,42
241,20,43
242,74,43
243,77,43
244,78,43
245,179,43
246,181,43
247,183,43
248,184,43
249,697,43
250,707,43
251,119,44
252,120,44
253,697,44
254,20,45
255,74,45
256,118,45
257,119,45
258,120,45
259,285,45
260,302,45
261,680,45
262,697,45
263,20,46
264,74,46
265,118,46
266,119,46
267,120,46
268,680,46
269,697,46
270,733,46
271,20,47
272,74,47
273,118,47
274,119,47
275,120,47
276,130,47
277,131,47
278,680,47
279,697,47
280,241,48
281,706,48
282,257,49
283,262,49
284,263,49
285,307,49
286,308,49
287,309,49
288,521,49
289,654,49
290,522,50
291,640,50
292,74,51
293,285,51
294,693,51
295,20,52
296,74,52
297,158,52
298,172,52
299,173,52
300,697,52
301,707,52
302,20,53
303,74,53
304,158,53
305,172,53
306,173,53
307,697,53
308,707,53
309,209,54
310,261,55
311,262,55
312,263,55
313,308,55
314,309,55
315,521,55
316,654,55
317,916,55
318,287,57
319,300,57
320,693,57
321,267,58
322,269,58
323,6,59
324,200,59
325,285,59
326,290,59
327,330,59
328,331,59
329,346,59
330,384,59
331,488,59
332,539,59
333,693,59
334,200,60
335,285,60
336,290,60
337,294,60
338,346,60
339,384,60
340,488,60
341,539,60
342,664,60
343,732,60
344,384,61
345,664,61
346,732,61
347,306,62
348,352,62
349,664,62
350,732,62
351,1275,62
352,20,63
353,79,63
354,20,64
355,22,64
356,73,64
357,74,64
358,172,64
359,173,64
360,177,64
361,697,64
362,707,64
363,311,65
364,318,65
365,319,65
366,693,65
367,89,66
368,1286,66
369,20,67
370,74,67
371,120,67
372,134,67
373,680,67
374,697,67
375,325,68
376,328,68
377,1326,68
378,15,69
379,250,69
380,262,70
381,263,70
382,308,70
383,309,70
384,521,70
385,654,70
386,798,70
387,20,71
388,74,71
389,172,71
390,173,71
391,176,71
392,179,71
393,180,71
394,183,71
395,184,71
396,692,71
397,697,71
398,20,72
399,73,72
400,74,72
401,172,72
402,173,72
403,177,72
404,20,73
405,86,73
406,96,73
407,116,73
408,184,73
409,348,73
